LINK,TITLE,LOCATION,SALARY,SUMMARY
https://kr.indeed.com/viewjob?jk=b4628b61ec925dc1,"2020년 2월 경력채용(SCM, IT기획, UX기획, CG)",롯데홈쇼핑 서울 영등포구,,영상시스템) ㆍ프로젝트 관리/QA업무 - 관련 경력 8년 이상 - 온라인 쇼핑몰 구축/운영 경험자 우대 - JAVA/Oracle/AWS/모바일/CMS/ 빅데이타 경험자 우대 0명 - 정규직 - 본사근무 DT본부 IT기획...
https://kr.indeed.com/viewjob?jk=ea5d26c45703b820,네이버웹툰 빅데이터 플랫폼 개발자(경력),네이버 대한민국,,"처리 Job 자동화 • 자격요건 - 대용량 데이터 설계에 대한 기본 지식과 모델링 경험이 있으신 분. - Java/Javascript/Python 개발경험과 프로그래밍 기본 지식을 가지신 분 - API 서버, 웹서버 개발과..."
https://kr.indeed.com/viewjob?jk=4ab17935b6a97e7e,IT 솔루션 분야 신입사원,프리커스 대한민국,,"전형절차 및 제출서류 전형절차 직무/산업 직무별(직종) 웹프로그래머웹프로그래머, ASP, JSP, PHP, HTML 응용프로그래머응용프로그래머, Java, Oracle 산업별(업종) 솔루션.ASP.소프트웨어 소프트웨어개발"
https://kr.indeed.com/viewjob?jk=778a3f86de95e620,[플랫폼]서버 개발자(정규직),위메프 2.3 대한민국,,"전반적인 개발 및 운영을 담당 (상품,주문,쿠폰,포인트,배송,정산,구매후기,전시 등) [자격사항] - JAVA 언어에 능숙하신 분 - Spring framework, Spring Data JPA (3년 이상) - MySQL..."
https://kr.indeed.com/viewjob?jk=14c1e05760f52205,해외 금융시스템 개발/운영 담당 4명 (IT개발 엔지니어),디에스파트너즈그룹 서울,,"전공무관) -영어: 중급이상(업무상 소통) -IT경력: UNIX, Java언어 기반 개발 경험 3년 이상 -업무경력:금융사 시스템 개발 또는... 리는점 양해바랍니다. 인터넷·IT·통신·모바일·게임>웹프로그래머> JAVA"
https://kr.indeed.com/viewjob?jk=bb22e1b9b7683013,"Front End Software Engineer, TensorFlow",Google 4.3 서울,,"Programming abilities and proficiency with backend (Python, Java). Programming abilities and proficiency in TypeScript. About..."
https://kr.indeed.com/viewjob?jk=0562fac1d13b78f1,애니파이브 - JAVA 개발자 경력직(정규직),애니파이브 서울 구로구,,"학력 대학졸업(2,3년) 성별 무관 기타 담당업무 (주)애니파이브 - JAVA 개발자 경력직(정규직) 채용 커리어 양식 지원 아직 커리어에 이력서를... 직무별(직종) 웹프로그래머JSP, JAVA, MySQL, MS-SQL 응용..."
https://kr.indeed.com/viewjob?jk=e36af236652e8e9d,Data Analyst (CRM),Coupang 3.0 서울,,"Experience using a programming language (R, SAS, Python, Java, etc... automation, job scheduling, and statistical analysis..."
https://kr.indeed.com/viewjob?jk=989c8d5579ea7132,"인공지능 플랫폼 회사(알파브릿지) 경력직(IT, 관리)",에셋플러스자산운용 대한민국,,"로세스 구축 및 운영 -Linux / My SQL 운영 및 관리 경력자 우대 -Python / C/C++ / JAVA 등 데이터 분석 및 처리관련 개발언어 숙련자 우대 -API, Scraping 등 활용 데이터 수집, 운영관..."
https://kr.indeed.com/viewjob?jk=6718bba08ef6e20b,모바일 앱 보안 솔루션 개발부문,스틸리언 서울 용산구,,"앱수트는 C언어, Java, Python을 통해 주로 개발합니다. - ELF, Dalvik, Gradle 빌드 시스템, Java bytecode... 분 모집 Part 3) - Java, Objective C, Swift..."
https://kr.indeed.com/viewjob?jk=1f7f2b48cf91125b,DBA담당자,해커스 서울 강남구,,"설계(요건 분석 및 협의 능력) 7. 원활한 소통능력 8. 경력 4년 이상 우대사항 1.개발 경험 ( Java, Python, C++) 2. 운영체제에 대한 다양한 운영 경험 3. 각종 퍼블릭 클라우드 운영 경험 4..."
https://kr.indeed.com/viewjob?jk=38432d737f984180,"App Java 개발자 경력 - 정규직, 계약직",지니웍스 서울 강남구,,"년) 성별 무관 기타 담당업무 App Java 개발자 경력 채용 - 정규직... 제출서류 전형절차 직무/산업 직무별(직종) 응용프로그래머응용프로그래머, Java, Application 산업별(업종) 솔루션.ASP.소프트웨어 소프트웨어개발"
https://kr.indeed.com/viewjob?jk=b0e9252f0c2cf6ec,[개발]위메프패션 백엔드 개발자(정규직),위메프 2.3 대한민국,,"개발 프로그래머 [담당업무] - 위메프패션 서비스 백엔드 개발 [자격사항] - 백엔드개발 경력 3년 이상 - Java, Node.js, Python, Php, Ruby 중 하나 이상 백엔드 개발 경험이 있으신 분 - NoSql..."
https://kr.indeed.com/viewjob?jk=55dd3a1ce1248639,System Administrator 2-IT (Datacenter En...,Oracle 3.8 서울,,"scripting ( Java, Perl, Ruby, C#... experience with Perl, Python, Bash or Java • Core OS Services: ssh, telnet, ftp..."
https://kr.indeed.com/viewjob?jk=f339b9c21de2b277,소프트웨어 개발자,묵호 성남 중원구,,"[응용 프로그래밍] - C, C++, JAVA, 임베디드 개발 유경험자 - .NET 프레임워크에 대한 기반 지식 보유자 - 네트워크 프로그래밍에 대한 경험자 - DB 설계 및 DBMS(MS-SQL, MySQL, ORACLE)에..."
https://kr.indeed.com/viewjob?jk=c85d8c2601901fcd,HurryUp Korea는 함께 할 동료 기다리고 있습니다.(닷넷/자바),허리업코리아 서울 강남구,,"자바) 모집부문 및 자격요건 JAVA or .NET 개발자를 모십니다... 경력5년 - C#, ASP.NET MVC Framework 경험자 - Java, Spring Framework 경험자 - REST API 환경 경험..."
https://kr.indeed.com/viewjob?jk=897cbd0a7dfe012f,퍼스널모빌리티 플랫폼 DART 서버/백엔드 개발자 (37년),다트쉐어링 대한민국,,개발환경 구성 - 다트 서비스 운영 [자격요건] - 일반 사용자용 서비스를 직접 개발하고 운영한 경험 - Java/Spring/Mybatis 기반 개발에 대한 이해 - Spring Security에 대한 이해 - MySQL...
https://kr.indeed.com/viewjob?jk=a05fefdb427988ab,Pre-Sales Engineer,TransPerfect 서울,,"operating systems: Windows, Unix or Linux Strong knowledge of Java, .NET, Web Services... other web and software..."
https://kr.indeed.com/viewjob?jk=22e47a04b651ae84,직원,KIS채권평가 대한민국,,"보기술실> *포지션: 프로그래머 신입/경력직 *담당업무: - 프로그래머 *자격요건: - C/C++, C#, java 등 프로그램 개발 가능 - Oracle Database 이용 경험 - Windows server와 Linux..."
https://kr.indeed.com/viewjob?jk=f0c61e659e288a89,LINE TV 개발 경력사원,네이버 대한민국,,"서비스 개발 [필요역량] - Java 기반 백엔드 프로그래밍 기본 지식을... 패턴, 대용량 데이터 설계 및 활용에 대한 기본 지식을 가지신 분 - Java 중급 이상, 글로벌 서비스 운영 및 개발 경험자 - 웹 프로토콜 및..."
https://kr.indeed.com/viewjob?jk=b6d1fd9fde0c6433,[개발]여행서비스 백엔드 개발자(정규직),위메프 2.3 대한민국,,"개발 프로그래머 [담당업무] - 항공/숙박(호텔 등)/티켓 관련 여행플랫폼 개발 업무 [자격사항] - Java / Spring 서버 개발 3년 이상 경력자 - Spring framework, Spring Data JPA..."
https://kr.indeed.com/viewjob?jk=706bb9ab11436fcd,2019년 정규직 경력 상시,신동아건설 대한민국,,"관련 경력 4년 ~ 10년(대리 ~ 과장급) - 재무 또는 공사관리 시스템 개발 및 운영 유경험자 - 파워빌더, Java, Jsp 프로그래밍 가능자 전형일정 접수기간 : ~ 채용시 접수방법 : 홈페이지( http..."
https://kr.indeed.com/viewjob?jk=eb3ea60c32fa486e,네이버 인플루언서검색 서비스 백엔드 개발자,네이버 대한민국,,Quality Practice (a.k.a 애자일 프랙티스 및 기술 실천법) [필요역량] - Java 기반 백엔드 프로그래밍 기본 지식을 보유하신 분 - 개발 표준 수립 및 구현 전략이 가능하신 분 - Spring...
https://kr.indeed.com/viewjob?jk=37d1f6dbb37f8a38,대용량 분산 스토리지 개발자,카카오 4.2 성남 판교역,,프로그래밍에 익숙하신 분 멀티쓰레드 기반의 프로그래밍에 익숙하신 분 개발 경력 2년 이상 #우대 자격 Java 멀티쓰레드 기반 네트워크 프로그래밍 경험이 있으신 분 (netty도 ok) Python 등의 스크립트 언어를...
https://kr.indeed.com/viewjob?jk=003c11fc393d77d7,[개발]위메프오 서비스 개발총괄(정규직),위메프 2.3 대한민국,,"Python, JAVA(Spring Boot), MSA, ELK * Infra : AWS (EC2, RDS, S3, VPC, SES, WAF) * Mobile/PC APP : Swift, Kotlin, Java, MFC..."
https://kr.indeed.com/viewjob?jk=61ecdc0ef3cfb66a,[경력] 빅데이터 플랫폼 엔지니어,카카오 4.2 성남 판교역,,"필요한 기술 연구 및 도입 지원자격 <기술> 전산 전공 또는 그에 준하는 실무 경험을 갖추신 분 Java 필수, 그 외 Scala, Python, Ruby 중 1개 이상 언어로 개발 가능하신 분 하둡 플랫폼에 대한..."
https://kr.indeed.com/viewjob?jk=80ad903d68141506,(관계사)증권 IT 개발 및 운영인력 영입,카카오페이 성남 백현동,,업무영역별 지속적인 테스트 및 품질 개선활동 지원자격 - 관련업무 경력 3년 이상 보유하신 분 - Java 개발언어 활용 능력이 있으신 분 - Spring 기반 프레임워크 활용 능력이 있으신 분 - 웹 어플리케이션...
https://kr.indeed.com/viewjob?jk=1477fd9492503579,Java 개발자,Feelway 서울,,"JAVA 스프링 기반 백엔드 서버 개발 • JAVA, JSP를 이용한 프로그램 및 웹기반 시스템 개발 • 회사 주요 솔루션 기능개선 및 개발 자격요건 • Spring framework에 대한 이해도 우수자 • Java..."
https://kr.indeed.com/viewjob?jk=85c81a1af6071ab6,Back-end Application Developer,KOREA CONTENT PLATFORM 서울,,"similar field - Experience and knowledge with our tech stack - Java, JSP, Spring, MySQL, Docker, AWS, HTML / CSS / JavaScript..."
https://kr.indeed.com/viewjob?jk=f6fe4d192f210bc7,퀀트 개발자 (Quant Developer),ATZ Inc. 서울,"연봉 30,000,000원 - 40,000,000원","C++/C#/Python/ Java/Node.js)* Experience... programming languages) C/C++/C#/Python/ Java R/Excel 모델링 경험이 있어야 합니다. 알고리즘, 데이터자료..."
